column_name,xpath
conditions_condition_narrative,/iati-activities/iati-activity/conditions/condition/narrative/text()
result_type,/iati-activities/iati-activity/result/@type
result_aggregation_status,/iati-activities/iati-activity/result/@aggregation-status
result_title,/iati-activities/iati-activity/result/title/text()
result_description_type,/iati-activities/iati-activity/result/description/@type
result_description_narrative_xml:lang,/iati-activities/iati-activity/result/description/narrative/@xml:lang
result_description_narrative,/iati-activities/iati-activity/result/description/narrative/text()
result_document_link,/iati-activities/iati-activity/result/document-link/text()
result_reference_code,/iati-activities/iati-activity/result/reference/@code
result_reference_vocabulary,/iati-activities/iati-activity/result/reference/@vocabulary
result_reference_vocabulary_uri,/iati-activities/iati-activity/result/reference/@vocabulary-uri
result_reference,/iati-activities/iati-activity/result/reference/text()
result_indicator_measure,/iati-activities/iati-activity/result/indicator/@measure
result_indicator_ascending,/iati-activities/iati-activity/result/indicator/@ascending
result_indicator_aggregation_status,/iati-activities/iati-activity/result/indicator/@aggregation-status
result_indicator_title,/iati-activities/iati-activity/result/indicator/title/text()
result_indicator_description_type,/iati-activities/iati-activity/result/indicator/description/@type
result_indicator_description_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/description/narrative/@xml:lang
result_indicator_description_narrative,/iati-activities/iati-activity/result/indicator/description/narrative/text()
result_indicator_document_link,/iati-activities/iati-activity/result/indicator/document-link/text()
result_indicator_reference_code,/iati-activities/iati-activity/result/indicator/reference/@code
result_indicator_reference_vocabulary,/iati-activities/iati-activity/result/indicator/reference/@vocabulary
result_indicator_reference_vocabulary_uri,/iati-activities/iati-activity/result/indicator/reference/@vocabulary-uri
result_indicator_reference,/iati-activities/iati-activity/result/indicator/reference/text()
result_indicator_baseline_iso_date,/iati-activities/iati-activity/result/indicator/baseline/@iso-date
result_indicator_baseline_year,/iati-activities/iati-activity/result/indicator/baseline/@year
result_indicator_baseline_value,/iati-activities/iati-activity/result/indicator/baseline/@value
result_indicator_baseline_location_ref,/iati-activities/iati-activity/result/indicator/baseline/location/@ref
result_indicator_baseline_location_location_reach_code,/iati-activities/iati-activity/result/indicator/baseline/location/location-reach/@code
result_indicator_baseline_location_location_reach,/iati-activities/iati-activity/result/indicator/baseline/location/location-reach/text()
